class,direction,rank,gene,coefficient
"effector memory CD8-positive, alpha-beta T cell",negative,6,ENSG00000099204,-0.14209355
"effector memory CD8-positive, alpha-beta T cell",negative,7,ENSG00000175727,-0.12106592
"effector memory CD8-positive, alpha-beta T cell",negative,8,ENSG00000021355,-0.09719967
"effector memory CD8-positive, alpha-beta T cell",negative,9,ENSG00000109906,-0.09545151
"effector memory CD8-positive, alpha-beta T cell",negative,10,ENSG00000131143,-0.09530179
"effector memory CD8-positive, alpha-beta T cell",negative,11,ENSG00000163513,-0.09208708
"effector memory CD8-positive, alpha-beta T cell",negative,12,ENSG00000171608,-0.08736519
"effector memory CD8-positive, alpha-beta T cell",negative,13,ENSG00000129353,-0.080372676
"effector memory CD8-positive, alpha-beta T cell",negative,14,ENSG00000164300,-0.06971339
"effector memory CD8-positive, alpha-beta T cell",negative,15,ENSG00000100605,-0.06922341
"effector memory CD8-positive, alpha-beta T cell",negative,16,ENSG00000175040,-0.0560291
"effector memory CD8-positive, alpha-beta T cell",negative,17,ENSG00000100599,-0.05301881
"effector memory CD8-positive, alpha-beta T cell",negative,18,ENSG00000127184,-0.04138234
"effector memory CD8-positive, alpha-beta T cell",negative,19,ENSG00000168056,-0.038139056
"effector memory CD8-positive, alpha-beta T cell",negative,20,ENSG00000142546,-0.036499612
memory B cell,positive,1,ENSG00000136573,0.7899158
memory B cell,positive,2,ENSG00000240505,0.57522815
memory B cell,positive,3,ENSG00000163568,0.4573879
memory B cell,positive,4,ENSG00000211896,0.32867318
memory B cell,positive,5,ENSG00000211895,0.2498359
memory B cell,positive,6,ENSG00000161929,0.216356
memory B cell,positive,7,ENSG00000272398,0.21357106
memory B cell,positive,8,ENSG00000126821,0.19585328
memory B cell,positive,9,ENSG00000116731,0.19434513
memory B cell,positive,10,ENSG00000109436,0.19074677
memory B cell,positive,11,ENSG00000076604,0.1874703
memory B cell,positive,12,ENSG00000140750,0.18711612
memory B cell,positive,13,ENSG00000166405,0.16089518
memory B cell,positive,14,ENSG00000116191,0.15568647
memory B cell,positive,15,ENSG00000124942,0.15459087
memory B cell,positive,16,ENSG00000058091,0.1364473
memory B cell,positive,17,ENSG00000213145,0.11044996
memory B cell,positive,18,ENSG00000119408,0.10919321
memory B cell,positive,19,ENSG00000082438,0.10393928
memory B cell,positive,20,ENSG00000152492,0.10160392
memory B cell,negative,1,ENSG00000182568,-0.73465323
memory B cell,negative,2,ENSG00000100422,-0.21457167
memory B cell,negative,3,ENSG00000069493,-0.18137325
memory B cell,negative,4,ENSG00000100721,-0.120036
memory B cell,negative,5,ENSG00000204304,-0.087293476
memory B cell,negative,6,ENSG00000113391,-0.0714181
memory B cell,negative,7,ENSG00000214253,-0.06992054
memory B cell,negative,8,ENSG00000168421,-0.047451653
memory B cell,negative,9,ENSG00000099977,-0.03814102
memory B cell,negative,10,ENSG00000103522,-0.028657531
memory B cell,negative,11,ENSG00000107560,-0.024388684
memory B cell,negative,12,ENSG00000142875,-0.022537576
memory B cell,negative,13,ENSG00000135048,-0.011725564
memory B cell,negative,14,ENSG00000101972,0.0
memory B cell,negative,15,ENSG00000184216,0.0
memory B cell,negative,16,ENSG00000169057,0.0
memory B cell,negative,17,ENSG00000196924,0.0
memory B cell,negative,18,ENSG00000102119,0.0
memory B cell,negative,19,ENSG00000102125,0.0
memory B cell,negative,20,ENSG00000071553,0.0
naive B cell,positive,1,ENSG00000100721,1.0818375
naive B cell,positive,2,ENSG00000147535,0.6580876
naive B cell,positive,3,ENSG00000211898,0.48303404
naive B cell,positive,4,ENSG00000084234,0.450339
naive B cell,positive,5,ENSG00000104921,0.37900645
naive B cell,positive,6,ENSG00000101017,0.27002022
naive B cell,positive,7,ENSG00000137101,0.25020263
naive B cell,positive,8,ENSG00000169762,0.22365099
naive B cell,positive,9,ENSG00000135048,0.21526965
naive B cell,positive,10,ENSG00000087266,0.189695
naive B cell,positive,11,ENSG00000157500,0.15801264
naive B cell,positive,12,ENSG00000060138,0.13992006
naive B cell,positive,13,ENSG00000159322,0.13986693
naive B cell,positive,14,ENSG00000122986,0.1334247
naive B cell,positive,15,ENSG00000182606,0.13221706
naive B cell,positive,16,ENSG00000123104,0.102800176
naive B cell,positive,17,ENSG00000122591,0.09291714
naive B cell,positive,18,ENSG00000099977,0.087040186
naive B cell,positive,19,ENSG00000109906,0.08686549
naive B cell,positive,20,ENSG00000157734,0.079765655
naive B cell,negative,1,ENSG00000026025,-0.40035865
naive B cell,negative,2,ENSG00000166710,-0.30702585
naive B cell,negative,3,ENSG00000064012,-0.24637453
naive B cell,negative,4,ENSG00000140853,-0.23608182
naive B cell,negative,5,ENSG00000213145,-0.21356557
naive B cell,negative,6,ENSG00000152291,-0.10279905
naive B cell,negative,7,ENSG00000149177,-0.10128984
naive B cell,negative,8,ENSG00000005844,-0.05409971
naive B cell,negative,9,ENSG00000153179,-0.051775374
