C,n_top_genes,confidence_threshold,n_iter,n_nonzero_coefficients,n_total_coefficients,sparsity,n_genes_used,raw_accuracy,raw_macro_f1,raw_weighted_f1,coverage,rejection_rate,accepted_accuracy,accepted_macro_f1,accepted_weighted_f1
0.01,3000,0.95,312,46,18000,0.9974444444444445,44,0.9718518518518519,0.971894173615286,0.971895483710942,0.1437037037037037,0.8562962962962963,1.0,1.0,1.0
0.1,3000,0.95,1050,161,18000,0.9910555555555556,143,0.9911111111111112,0.9911110525822916,0.9911109940534719,0.8637037037037038,0.13629629629629625,0.9982847341337907,0.9982355412407227,0.9982849262935294
0.05,3000,0.95,777,117,18000,0.9935,105,0.9881481481481481,0.9881670872011393,0.9881669424072278,0.7392592592592593,0.2607407407407407,0.9979959919839679,0.9978346761153527,0.9979957383869692
0.5,3000,0.95,2355,296,18000,0.9835555555555555,259,0.9911111111111112,0.9911110525822916,0.9911109940534719,0.9481481481481482,0.051851851851851816,0.996875,0.9968464744319725,0.9968752422346338
1.0,3000,0.95,2885,408,18000,0.9773333333333334,343,0.9911111111111112,0.9911110525822916,0.9911109940534719,0.9585185185185185,0.04148148148148145,0.9953632148377125,0.995326532936152,0.9953634505111115
0.001,3000,0.95,38,1,18000,0.9999444444444444,1,0.31703703703703706,0.2075302811839976,0.2084526379892598,0.0,1.0,,,
