split,threshold,n_total,n_accepted,n_rejected,coverage,rejection_rate,raw_accuracy,raw_macro_f1,raw_weighted_f1,accepted_accuracy,accepted_macro_f1,accepted_weighted_f1,full_accuracy_with_uncertain,n_samples,prediction_time_seconds,prediction_time_per_cell_ms,training_time_seconds,training_time_per_cell_ms,n_train_samples,n_features,solver,penalty,C,l1_ratio,max_iter,n_iter,n_jobs,n_nonzero_coefficients,n_total_coefficients,sparsity,n_genes_used
val,0.95,675,640,35,0.9481481481481482,0.051851851851851816,0.9911111111111112,0.9911110525822916,0.9911109940534719,0.996875,0.9968464744319725,0.9968752422346338,0.9451851851851852,675,0.0031115999991015997,0.004609777776446815,593.9643376999993,188.61998656716398,3149,3000,saga,deprecated,0.5,1,5000,2355,-1,296,18000,0.9835555555555555,259
test,0.95,676,630,46,0.9319526627218935,0.06804733727810652,0.985207100591716,0.9852093634988371,0.9852055850284596,0.9968253968253968,0.9967610474019276,0.9968256253544968,0.9289940828402367,676,0.003068000001803739,0.004538461541129792,593.9643376999993,188.61998656716398,3149,3000,saga,deprecated,0.5,1,5000,2355,-1,296,18000,0.9835555555555555,259
