stage,seconds,n_samples,milliseconds_per_cell
training,593.9643376999993,3149,188.61998656716398
validation_prediction,0.0031115999991015997,675,0.004609777776446815
test_prediction,0.003068000001803739,676,0.004538461541129792
save_outputs,0.8150984000021708,,
total_script,595.1853888999976,4500,132.26341975555502
