stage,seconds,n_samples,milliseconds_per_cell
training,0.04894780000176979,3149,0.015543918704912604
validation_prediction,0.0002806000011332799,675,0.00041570370538263686
test_prediction,0.0004259000015736092,676,0.0006300295881266409
save_outputs,0.4963860999996541,,
total_script,0.773490399998991,4500,0.17188675555533137
