split,n_samples,accuracy,macro_f1,weighted_f1,prediction_time_seconds,prediction_time_per_cell_ms,training_time_seconds,training_time_per_cell_ms,n_train_samples,n_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,n_jobs
val,675,0.9688888888888889,0.9688885962447907,0.9688885377159713,0.1293792999967991,0.19167303703229496,1.4798527999992075,0.46994372816742064,3149,50,1000,20,2,2,sqrt,-1
test,676,0.9674556213017751,0.9674632455628656,0.9674529826952674,0.14300350000121398,0.21154363905505028,1.4798527999992075,0.46994372816742064,3149,50,1000,20,2,2,sqrt,-1
