split,n_samples,accuracy,macro_f1,weighted_f1,prediction_time_seconds,prediction_time_per_cell_ms,training_time_seconds,training_time_per_cell_ms,n_train_samples,n_features,solver,max_iter,n_iter
val,675,0.9866666666666667,0.9866663154729371,0.9866664910698021,0.0002806000011332799,0.00041570370538263686,0.04894780000176979,0.015543918704912604,3149,50,lbfgs,2000,71
test,676,0.9792899408284024,0.979279136099582,0.9792787512250825,0.0004259000015736092,0.0006300295881266409,0.04894780000176979,0.015543918704912604,3149,50,lbfgs,2000,71
