stage,seconds,n_samples,milliseconds_per_cell
training,1.4798527999992075,3149,0.46994372816742064
validation_prediction,0.1293792999967991,675,0.19167303703229496
test_prediction,0.14300350000121398,676,0.21154363905505028
save_outputs,0.8457874000014272,,
total_script,2.820147899998119,4500,0.6266995333329154
